13-05-2023 10:36:48.048 INFO: Incoming request | #1 | resource: /todo | HTTP Verb POST | request #1 
13-05-2023 10:36:48.048 INFO: Incoming request | #2 | resource: /todo/size | HTTP Verb GET | request #2 
13-05-2023 10:36:48.048 INFO: Incoming request | #3 | resource: /todo/content | HTTP Verb GET | request #3 
13-05-2023 10:36:49.049 INFO: Incoming request | #4 | resource: /todo | HTTP Verb PUT | request #4 
13-05-2023 10:36:49.049 INFO: Incoming request | #5 | resource: /logs/level | HTTP Verb PUT | request #5 
13-05-2023 10:36:49.049 INFO: Incoming request | #6 | resource: /todo | HTTP Verb POST | request #6 
13-05-2023 10:36:49.049 INFO: Incoming request | #7 | resource: /todo/size | HTTP Verb GET | request #7 
13-05-2023 10:36:49.049 INFO: Incoming request | #8 | resource: /todo | HTTP Verb DELETE | request #8 
13-05-2023 10:36:49.049 INFO: Incoming request | #9 | resource: /todo | HTTP Verb PUT | request #9 
13-05-2023 10:36:49.049 INFO: Incoming request | #10 | resource: /todo/content | HTTP Verb GET | request #10 
